,ID,Name,Park Code,Latitude,Longitude,Number Of Sites Reservable,Number Of Sites First Come First Serve,Accessibility Classifications,Cost,Zip,City
176,C1388F86-68A9-4C1C-85C2-193CD4BD3EE1,Duck Harbor Campground,acad,44.0277948996318,-68.6535293990644,5,0,['Designated Primitive Campsites'],20.0,04609,Bar Harbor
177,6AAEA981-168E-4F68-AABC-5140D75F05F4,Dump Station,grba,39.006544,-114.215989,0,0,[],10.0,,
178,665A07F7-CD99-401A-8674-4C65AC41954C,Dunbar Group Site,indu,41.68266002966044,-87.00171411037445,1,0,['Designated Primitive Campsites'],100.0,46304,Porter
179,0DFCB514-30BF-4FFE-B944-65FC6F41D214,Duncan Bay Campground,isro,48.150633110830206,-88.52247086940037,0,3,['Limited Development Campground'],0.0,49931,Houghton
180,3950A5D1-88F1-4727-857F-91473917C23F,Duncan Narrows Campground,isro,48.169312119814265,-88.47796476335344,0,3,['Limited Development Campground'],0.0,49931,Houghton
181,79E68F95-541A-49F8-8CC3-97C07A59670E,Dundo Group Campground,shen,38.2341,-78.7216,3,0,['Limited Development Campground'],75.0,22932,Crozet
182,B526C74A-2287-48D2-A480-F4FD2F832CE5,Dunewood Campground,indu,41.671966000578976,-86.9837859988566,66,0,['Limited Development Campground'],25.0,46360,Beverly Shores
183,DFE57C24-C7F4-4F2D-87B7-54A81D20D2E4,Dyea Campground,klgo,59.5072499,-135.3504976,0,22,['Limited Development Campground'],10.0,,
184,4C757AF8-2F39-49A8-A624-F63EB7F5BA90,East Chickenbone Campground,isro,48.073437514172,-88.69425862129464,1,3,['Primitive Camping Areas'],0.0,49931,Houghton
185,B9E356D7-B123-45F9-961B-F6AAE98FD6E0,East Elk Creek Group Campground,cure,38.484167,-107.188333,1,0,['Limited Development Campground'],53.0,,
186,C7040322-AF55-456C-A03B-5EF85E48E83B,East Portal Campground,cure,38.527059599536,-107.64948401793,0,15,['Limited Development Campground'],,,
187,FB7ECE1E-C9F6-4841-B52A-071DFBD4FAFC,East Portal Campground,blca,38.526896,-107.649306,0,15,['Limited Development Campground'],16.0,81401,Montrose
188,FBCE7DA5-896A-4A5B-939E-4AEACC63CC76,Echo Bay Campground (Lake Mead),lake,36.30813734081407,-114.4368978637836,0,37,['Developed Campground'],20.0,89005,Boulder City
189,5B501930-E3AB-4CB2-A5F7-9605E922A025,Echo Bay RV Park (Lake Mead),lake,36.31007553862327,-114.43199832188292,0,0,[],,,
190,32C0E210-8389-49F0-BFDF-B434678FCFEE,Echo Park Campground,dino,40.5208668444,-108.993230693,1,17,['Limited Development Campground'],10.0,81610,Dinosaur
191,DEAF023E-A2A4-4656-BB05-FC71582BE67D,El Morro Campground,elmo,35.0368936454882,-108.33681211762,0,9,['Limited Development Campground'],0.0,87321,Ramah
192,B2E3FA84-A72E-4193-95E9-A53557BBDCF5,Elk Creek Campground,cure,38.4674202781,-107.172066844,111,49,['Developed Campground'],16.0,,
